rank_by_best_val_loss,run_name,source_file,slurm_job_id,array_task_id,status,lr_schedule,learning_rate,weight_decay,init_value,end_value,warmup_steps,clip_norm,total_steps_config,iterations_config,num_logged_points,last_step,best_val_loss,best_val_step,best_train_loss_at_best_val,final_val_loss,final_train_loss,best_smoothed_val_loss,best_smoothed_val_step,final_smoothed_val_loss,final_lr,min_lr,max_lr,mean_grad_norm,max_grad_norm,mean_update_norm,max_update_norm
1,warmup_short,20260513_logs/logs/parameter_search-44245_9.log,44289,9,finished,warmup_cosine,0.0003,0.005,0.0001,1e-05,1000,1.0,100000,100000,1000,100000,0.46671539545059204,99600,0.5619258284568787,0.4740833342075348,0.5031933784484863,0.4706764681772752,99700,0.4706825911998749,1.0000000656873453e-05,1.0000000656873453e-05,0.0003000000142492354,1.3608945280015468,4.262994766235352,0.0309009047645377,0.07028888165950775
2,wd_high,20260513_logs/logs/parameter_search-44245_8.log,44282,8,finished,warmup_cosine,0.0003,0.01,0.0001,1e-05,10000,1.0,100000,100000,1000,100000,0.4698988199234009,99500,0.5240440964698792,0.4767361879348755,0.5052080154418945,0.47302361329396564,98800,0.47462961077690125,1.0000000656873453e-05,1.0000000656873453e-05,0.0003000000142492354,1.3847569291591644,5.929818153381348,0.0316553794114152,0.08263356983661652
3,clip_tighter,20260513_logs/logs/parameter_search-44245_15.log,44245,15,finished,warmup_cosine,0.0003,0.005,0.0001,1e-05,10000,0.5,100000,100000,1000,100000,0.470000684261322,93700,0.5022486448287964,0.4724891483783722,0.5159903168678284,0.47215091064572334,100000,0.47215091064572334,1.0000000656873453e-05,1.0000000656873453e-05,0.0003000000142492354,1.4195918672680854,6.3117852210998535,0.03165819557348732,0.07214393466711044
4,warmup_medium,20260513_logs/logs/parameter_search-44245_10.log,44290,10,finished,warmup_cosine,0.0003,0.005,0.0001,1e-05,5000,1.0,100000,100000,1000,100000,0.4717496633529663,97000,0.49787381291389465,0.4782944619655609,0.5010489225387573,0.4743454039096832,97400,0.4773872122168541,1.0000000656873453e-05,1.0000000656873453e-05,0.0003000000142492354,1.3858240998089313,4.267877578735352,0.031091399624943734,0.07024488598108292
5,lr_mid_low,20260513_logs/logs/parameter_search-44245_2.log,44248,2,finished,warmup_cosine,0.0002,0.005,5e-05,1e-06,5000,1.0,100000,100000,1000,100000,0.472005158662796,98900,0.477439284324646,0.47468647360801697,0.5028454661369324,0.4745379467805227,98300,0.4751318283379078,9.999999974752427e-07,9.999999974752427e-07,0.00019999999494757503,1.578518982589245,5.529492378234863,0.02019162933000189,0.04657789319753647
6,end_low,20260513_logs/logs/parameter_search-44245_12.log,44311,12,finished,warmup_cosine,0.0003,0.005,0.0001,1e-06,10000,1.0,100000,100000,1000,100000,0.47271639108657837,99600,0.5552680492401123,0.47306564450263977,0.49420905113220215,0.4738802909851074,100000,0.4738802909851074,1.0000001111620804e-06,1.0000001111620804e-06,0.0003000000142492354,1.363556383371353,3.6440041065216064,0.030857803077218703,0.0697442814707756
7,clip_looser,20260513_logs/logs/parameter_search-44245_14.log,44313,14,finished,warmup_cosine,0.0003,0.005,0.0001,1e-05,10000,2.0,100000,100000,1000,100000,0.47293931245803833,96000,0.4761751592159271,0.4786764085292816,0.502768337726593,0.4772580961386363,95500,0.47800277173519135,1.0000000656873453e-05,1.0000000656873453e-05,0.0003000000142492354,1.3843564844429492,8.83257007598877,0.03165864399401471,0.07718770205974579
8,wd_none,20260513_logs/logs/parameter_search-44245_6.log,44266,6,finished,warmup_cosine,0.0003,0.0,0.0001,1e-05,10000,1.0,100000,100000,1000,100000,0.47298967838287354,97800,0.5665205717086792,0.47619131207466125,0.4913164973258972,0.4753883937994639,97400,0.4757026173174381,1.0000000656873453e-05,1.0000000656873453e-05,0.0003000000142492354,1.375121590077877,4.5304365158081055,0.03172051590133924,0.07315076887607574
9,base,20260513_logs/logs/parameter_search-44245_0.log,44246,0,finished,warmup_cosine,0.0003,0.005,0.0001,1e-05,10000,1.0,100000,100000,1000,100000,0.47659459710121155,97300,0.5236559510231018,0.48044681549072266,0.490720272064209,0.4797811686992645,99800,0.4800049178302288,1.0000000656873453e-05,1.0000000656873453e-05,0.0003000000142492354,1.3812066267430783,5.86790657043457,0.03163142107054591,0.07414090633392334
10,warmup_long,20260513_logs/logs/parameter_search-44245_11.log,44291,11,finished,warmup_cosine,0.0003,0.005,0.0001,1e-05,20000,1.0,100000,100000,1000,100000,0.47726500034332275,97500,0.5341463088989258,0.48291686177253723,0.5017431974411011,0.4803289274374644,97900,0.4811536930501461,1.0000000656873453e-05,1.0000000656873453e-05,0.0003000000142492354,1.4941606124937534,7.878273963928223,0.032579126873752105,0.07355258613824844
